dataset,fraction_label,model,mode,n,inside_change_mean,inside_change_std,outside_change_mean,outside_change_std,leakage_ratio_mean,leakage_ratio_std,leakage_ratio_median,outside_p99_mean,outside_p99_std,outside_p999_mean,outside_p999_std
imagenet_val,50,vqgan,farthest,50000,0.6107473126206121,0.08420830961830265,0.13958655506553846,0.028683099716756488,0.23143631122112684,0.05050156120391682,0.23108892718506385,0.7459879264605721,0.12078633342959322,0.875674547561247,0.0865855158554112
imagenet_val,75,llamagen,closest,50000,0.06506710271904578,0.02017311910940187,0.02734105388554139,0.011433467172770967,0.4221697427452582,0.1255815240616283,0.4180430350074061,0.15692235491020895,0.06909491978361817,0.2907538113647181,0.11568160661770369
imagenet_val,75,llamagen,orthogonal,50000,0.24221005370407725,0.048661764133589955,0.09190862643553786,0.025357602485753528,0.38527159704742553,0.09651386543872682,0.3847105516004661,0.35231329998794264,0.08817866144738194,0.5095361290296269,0.11548440400864823
imagenet_val,75,llamagen,random_uniform,50000,0.23992624717668692,0.04936269940410133,0.09067629888719374,0.025168471241432188,0.38422312282193366,0.09723280445730598,0.3834098877774526,0.3520952974842309,0.08964068343746513,0.5127437090949362,0.11730355516457151
imagenet_val,75,llamagen,farthest,50000,0.4103703107233592,0.08748303652979614,0.12036833997464286,0.03518110862790481,0.30114020577213474,0.0878612619064779,0.298512832462358,0.47719651517267664,0.11177830758038604,0.6519133244112173,0.12352878342767636
imagenet_val,75,vqgan,closest,50000,0.07358683017576581,0.02301574969711497,0.03945152449003269,0.01727887295945732,0.5321515390965804,0.1526123883264643,0.5305996554431449,0.21588923674266608,0.10002916340600092,0.37829005903719715,0.1518808310942251
imagenet_val,75,vqgan,orthogonal,50000,0.2610303007240164,0.04283920461560028,0.0973501447416307,0.02877095352987337,0.37852948662667024,0.11041009898823746,0.3751220927148755,0.42505675030954354,0.11272453342015938,0.6145045754657185,0.13666404865836015
imagenet_val,75,vqgan,random_uniform,50000,0.2202966870623266,0.055612656818750925,0.10383797808306605,0.030133844297996572,0.49145871318823137,0.15157758881035674,0.4849271918548348,0.38156786161020617,0.11258991990519598,0.5397397636263231,0.15270279556901575
imagenet_val,75,vqgan,farthest,50000,0.6126466128523248,0.0862471014696208,0.2134162783913812,0.048546888457794896,0.35324530605327825,0.08457860867612989,0.352489435033148,0.7796100466148674,0.11737581114469735,0.8759976063609146,0.0885346486394722
imagenetv2,10,llamagen,closest,10000,0.06660422404536624,0.024961105079171493,0.0079142652267923,0.0029579550936898137,0.12754234164492126,0.0490518876854766,0.12046200961452039,0.07789608588103676,0.03143606379919164,0.19181224183815945,0.07306883998840646
imagenetv2,10,llamagen,orthogonal,10000,0.21014717196860852,0.05537654622070375,0.022763527279546482,0.006308657739560309,0.11264192371596794,0.03295211522432402,0.10875301856743194,0.19366148581801,0.054654500051326604,0.38648770662723814,0.1010742821823568
imagenetv2,10,llamagen,random_uniform,10000,0.20896592204323539,0.057478882689790116,0.022567289190396866,0.006361163021682803,0.11271807648912822,0.033577916393874814,0.10834624450075395,0.19247062299808507,0.055163265891038336,0.388866070969045,0.10376238403143317
imagenetv2,10,llamagen,farthest,10000,0.33374713953347507,0.09143465076698222,0.029277357834959605,0.007656204610859508,0.09192515647677744,0.0278390252463439,0.08778099738093739,0.2532527300969513,0.06526664117191976,0.49137004039539434,0.1155595773797381
imagenetv2,10,vqgan,closest,10000,0.06925589697838926,0.02744803627438195,0.01112758069494909,0.004735707481929285,0.16923929134343033,0.061234434017038035,0.16215084656393086,0.1055385893532914,0.047092187924495196,0.24932115796124982,0.10370361256497916
imagenetv2,10,vqgan,orthogonal,10000,0.22668146685278756,0.05555738960534214,0.028240581273821345,0.009231941877273494,0.12818305554814297,0.04098786958385009,0.12357871772369475,0.25021061882384144,0.07866446962670039,0.4736564013823981,0.12374923517241683
imagenetv2,10,vqgan,random_uniform,10000,0.18725395631713215,0.05702246721960218,0.028911389940172273,0.009941758234834248,0.16384018417903135,0.06089490645332532,0.15440658629334703,0.22755811443004773,0.07488779601037329,0.41212520198490377,0.1192143361784301
imagenetv2,10,vqgan,farthest,10000,0.592679976851491,0.10293725931114248,0.052073414651853625,0.013367202772254044,0.08966688126666356,0.025692051892912068,0.08634954293601055,0.5426147898036247,0.14415334934666318,0.8064094730892081,0.11366909567243608
imagenetv2,25,llamagen,closest,10000,0.06690842910586493,0.022294279616028714,0.012635549513418713,0.0047521020815268,0.19531566331307265,0.059082128820150744,0.1896040928946479,0.10168937502971455,0.039911423287989856,0.22488728974371733,0.08121059967448058
imagenetv2,25,llamagen,orthogonal,10000,0.22273701466606366,0.04888475727110068,0.03834721166937759,0.010035709314842519,0.17605126958682313,0.04490861996663347,0.17274156366338955,0.24645737641388887,0.06212424699814452,0.43322465486399153,0.0998971419710666
imagenetv2,25,llamagen,random_uniform,10000,0.2205520376308406,0.04998335520952542,0.03787330673162361,0.010019565464514811,0.1760625418134304,0.04614492611252674,0.1718176914740705,0.2449932811738174,0.06271834881082852,0.4357800191041623,0.10231947656589555
imagenetv2,25,llamagen,farthest,10000,0.36208003500677893,0.08583057625631506,0.049059583824862946,0.012521518736100572,0.14003066510336176,0.038616346086404824,0.1369295696874333,0.3250717377567063,0.0761998148628803,0.5522166464321422,0.11220462774368377
imagenetv2,25,vqgan,closest,10000,0.07150995983085882,0.024851869104746398,0.018451881346847783,0.00770849923082432,0.2628152348459238,0.07681718891139296,0.25776522004893054,0.14072720012321854,0.059843532352948724,0.2959605044780458,0.11274022255181126
imagenetv2,25,vqgan,orthogonal,10000,0.2386898957787487,0.04738382174277449,0.044361926499496766,0.013630836676109351,0.1891265915988748,0.056329527267731896,0.1841069238164223,0.3081446645035292,0.08673289096991703,0.524941599893621,0.1221291251901758
imagenetv2,25,vqgan,random_uniform,10000,0.20045614145832935,0.053372880072114375,0.048992029429217106,0.01587787173946263,0.2562140483118368,0.09065207114371261,0.24242286748465613,0.29138577255575326,0.08580324126856863,0.47040345819514895,0.12278039825678469
imagenetv2,25,vqgan,farthest,10000,0.6087666275497535,0.08856926432273407,0.08837137306728152,0.021089942912265347,0.14718829521982577,0.03750995506807367,0.1447084873127035,0.6675334319336855,0.1338298884396502,0.8511885160453485,0.09532991266188186
imagenetv2,50,llamagen,closest,10000,0.0651987297629311,0.020850272969168592,0.01871085825981371,0.0071384465144272,0.2919614681602601,0.07964969116164827,0.2879033827650906,0.12606839620235502,0.05025297807618153,0.25531129269059133,0.09233850736994259
imagenetv2,50,llamagen,orthogonal,10000,0.22945281435036932,0.046070653607478376,0.06017863670841873,0.01498425571407662,0.26648872591784273,0.06121784950915524,0.2648135771052472,0.2982526428180477,0.07089697673199634,0.47331533247523405,0.10264243583197949
imagenetv2,50,llamagen,random_uniform,10000,0.22772378293100992,0.04673853339503794,0.059464534151271946,0.014981499470996903,0.26569943450247874,0.06217650996202666,0.26328835807666995,0.298223310731343,0.07173376673487761,0.47813943224436845,0.10540146598689003
